Título,Descripción,Fecha,Fecha_año,Fecha_mes,Fecha_dia,Fecha_hora,Enlace permanente,Tipo de publicación,Personas alcanzadas,Total de clics,Impresiones,Interacciones,Veces que se compartió,Me gusta,Comentarios,Usuarios que interactúan,Año,Mes,Nombre_Mes,Mes_Y_Año
Actualización de estado,No tiene descripción,2023-12-22 00:12:00,2023,12,22,00:12,https://www.facebook.com/GrupoGALASH/posts/pfbid02bqPfmtKaFwsH8Wp65cK69UAC8KupwEk3WF7RhSLCK4F5ojyjLSarSrpHLESgbp25l,Video,31,0.0,44.0,14,0,14,0,13.0,2023,12,December,December 2023
Actualización de estado,No tiene descripción,2023-12-23 13:12:00,2023,12,23,13:12,https://www.facebook.com/GrupoGALASH/posts/pfbid02fDKCXUKFkUNtsmpsdhMSoq7sJuztrEiGQS8sLTYexrxcjejRHNb4NJyQuuBsZxDel,Video,25,1.0,37.0,13,0,13,0,13.0,2023,12,December,December 2023
Actualización de estado,No tiene descripción,2023-12-25 12:12:00,2023,12,25,12:12,https://www.facebook.com/GrupoGALASH/posts/pfbid0hGgYqSnBjKs5if5kBhATdqhm4c6MtcVBdyRYu6zs6E1G5r8GER3FtK7jPqbGa2dpl,Foto,37,1.0,49.0,15,0,15,0,15.0,2023,12,December,December 2023
Actualización de estado,No tiene descripción,2023-12-27 10:12:00,2023,12,27,10:12,https://www.facebook.com/GrupoGALASH/posts/pfbid02vsqKWhbUhQcyJP8fqX7o9pEVunowfyFcfxsMeeeauZNCq1T1L4neQnEMpwuiFHUvl,Foto,47,1.0,59.0,14,1,13,0,13.0,2023,12,December,December 2023
Actualización de estado,No tiene descripción,2023-12-27 10:12:00,2023,12,27,10:12,https://www.facebook.com/GrupoGALASH/posts/pfbid023Y7PxkzVmtJPSJGR3fnRgMCUgjfGi8nfa4cfbCPaXmWTrN4Ji3ijgB5qH46uhhiol,Foto,37,2.0,48.0,13,0,13,0,13.0,2023,12,December,December 2023
No tiene Título,"El grupo de investigación GALASH les desea un feliz año nuevo 2024!

Síguenos en nuestra redes sociales:
Facebook: facebook.com/GrupoGALASH/
Instagram: instagram.com/grupogalash/
Twitter: twitter.com/GrupoGalash
linkedin: linkedin.com/in/galash-grupo-de-investigación",2023-12-31 17:12:00,2023,12,31,17:12,https://www.facebook.com/GrupoGALASH/posts/pfbid0oPPzBiAB5HoTHsRcN9QUS2QFiwbhtXDowedSF5pQjEpFADq1tJGinWDnF9J4navLl,Video,45,3.0,62.0,17,2,15,0,16.0,2023,12,December,December 2023
No tiene Título,"Reto semanal #1 👏

Les tenemos este reto para el día de hoy, déjenos sus respuestas en los cometarios!

Grupo de investigación Galash 
Síguenos en nuestra redes sociales: 
Facebook: facebook.com/GrupoGALASH/
Instagram: instagram.com/grupogalash/
Twitter: twitter.com/GrupoGalash
linkedin: linkedin.com/in/galash-grupo-de-investigación

Grupo de investigación GALASH
#UPTC
#uptcsogamoso 
#UPTCSomosTodos 
#reto 
#retodeprogramación
#investigación 
#programación
#IA 
#investigación 
#computador 
#computadoras",2023-12-01 07:12:00,2023,12,01,07:12,https://www.facebook.com/GrupoGALASH/posts/pfbid02fyDZrBMko59gnVwZvPeozVaBNjkzVCYGgHGNJpDQCJVkVp9Yq8BcZ8bDQo6kwBakl,Foto,70,5.0,80.0,15,0,15,0,16.0,2023,12,December,December 2023
Actualización de estado,No tiene descripción,2023-12-04 06:12:00,2023,12,04,06:12,https://www.facebook.com/GrupoGALASH/posts/pfbid02jWKAknkWGrNKAnurawxX9ZXzqe24niy8KECbAYLb2VMhqRjQpkKnifLhUg7RZM69l,Foto,52,4.0,57.0,15,0,15,0,17.0,2023,12,December,December 2023
No tiene Título,"¿Sabías qué? #10

Grupo de investigación Galash
Síguenos en nuestra redes sociales:
Facebook: facebook.com/GrupoGALASH/
Instagram: instagram.com/grupogalash/
Twitter: twitter.com/GrupoGalash
linkedin: linkedin.com/in/galash-grupo-de-investigación

Grupo de investigación GALASH
#UPTC #uptcsogamoso #UPTCSomosTodos #investigación #curiosidades #IA #investigación #data #datos #basededatos #videojuegos #programacion ##computación",2024-02-07 07:02:00,2024,02,07,07:02,https://www.facebook.com/GrupoGALASH/posts/pfbid02cJUa9P8nLCCH7Jf6BrsLUtTNmFJ5RLYdc38wsyKypjFM5toCvPCYZrpPiFdbpxN7l,Foto,45,0.0,66.0,19,1,18,0,15.0,2024,2,February,February 2024
No tiene Título,"Curiosidades #9

Grupo de investigación Galash
Síguenos en nuestra redes sociales:
Facebook: facebook.com/GrupoGALASH/
Instagram: instagram.com/grupogalash/
Twitter: twitter.com/GrupoGalash
linkedin: linkedin.com/in/galash-grupo-de-investigación

Grupo de investigación GALASH
#UPTC #uptcsogamoso #UPTCSomosTodos #investigación #curiosidades #IA #investigación #data #datos #basededatos #videojuegos #programacion #computación",2024-02-12 07:02:00,2024,02,12,07:02,https://www.facebook.com/GrupoGALASH/posts/pfbid02gdDs4i1KsPQk4T2z1oA5Y273nh5wZzf4rqFm4PqoBvfDjBUtuHYDvtnsFnHcQs8kl,Foto,44,1.0,59.0,15,1,14,0,12.0,2024,2,February,February 2024
